,city,country,iso,lat,long,text,reason
0,Carcross,Yukon,CAN,60.1676,-134.7074,"Carcross, Yukon",Adventure
1,Skagway,AK,USA,59.4554,-135.3153,"Skagway, AK",Adventure
2,Ketchikan,AK,USA,55.3422,-131.6461,"Ketchikan, AK",Adventure
3,Juneau,AK,USA,58.3019,-134.4197,"Juneau, AK",Adventure
4,Hanover,NH,USA,43.7022,-72.2896,"Hanover, NH",Studies
5,Albuquerque,NM ,USA,35.0844,-106.6504,"Albuquerque, NM ",Adventure
6,Chicago,IL,USA,41.811929,-87.68732,"Chicago, IL",Adventure
7,Victoria,BC,CAN,48.4284,-123.3656,"Victoria, BC",Adventure
8,Vancouver,BC,CAN,49.2827,-123.1207,"Vancouver, BC",Adventure
9,Squamish,BC,CAN,49.7016,-123.1558,"Squamish, BC",Adventure
10,Whistler,BC,CAN,50.1163,-122.9574,"Whistler, BC",Adventure
11,Arenal,Costa Rica,CRI,10.4389,-84.711456,"Arenal, Costa Rica",Studies
12,Atenas,Costa Rica,CRI,9.975317,-84.38324,"Atenas, Costa Rica",Studies
13,San Jose,Costa Rica,CRI,9.924974,-84.092102,"San Jose, Costa Rica",Studies
14,Panama City,Panama,PAN,8.960452,-79.552002,"Panama City, Panama",Adventure
15,Bogota,Colombia,COL,4.584981,-74.080811,"Bogota, Colombia",Friends
16,Santa Marta,Colombia,COL,11.208376,-74.256592,"Santa Marta, Colombia",Adventure
17,Reykjavik,Iceland,ISL,64.163918,-21.928711,"Reykjavik, Iceland",Adventure
18,London,UK,GBR,51.486728,-0.153809,"London, England",Adventure
19,Edinburgh,UK,GBR,55.929394,-3.186035,"Edinburgh, Scotland",Studies
20,Glasgow,UK,GBR,55.843133,-4.284668,"Glasgow, Scotland",Friends
21,Oban,UK,GBR,56.41053,-5.4547120,"Oban, Scotland",Friends
22,Mull,UK,GBR,56.434835,-5.888672,"Mull, Scotland",Adventure
23,Iona,UK,GBR,56.329018,-6.405716,"Iona, Scotland",Adventure
24,St Andrews,UK,GBR,56.334645,-2.8028870,"St Andrews, Scotland",Adventure
25,Sterling,UK,GBR,56.113596,-3.955078,"Sterling, Scotland",Adventure
26,Bristol,UK,GBR,51.487476,-2.642212,"Bristol, England",Friends
27,Newcastle,UK,GBR,54.963622,-1.61499,"Newcastle, UK",Adventure
28,LLantilio Cresseny,UK,GBR,51.823803,-2.851639,"LLantilio Crossenny, Wales",Friends
29,Calais,France,FRA,50.929223,1.889648,"Calais, France",Friends
30,Paris,France,FRA,48.887295,2.416992,"Paris, France",Friends
31,Berlin,Germany,DEU,52.42336,13.40332,"Berlin, Germany",Friends
32,Hannover,Germany,DEU,52.345827,9.667969,"Hannover, Germany",Friends
33,Milan,Italy,ITA,45.450738,9.18457,"Milan, Italy",Friends
34,Riomaggiore,Italy,ITA,44.126812,9.706421,"Riomaggiore, Italy",Friends
35,Tellaro,Italy,ITA,44.062100,9.928200,"Tellaro, Italy",Friends
36,Cozumel,Mexico,MEX,20.423000,-86.922300,"Cozumel, Mexico",Adventure
37,Lugano,Switzerland,CHE,"46.003535,",8.951797,"Lugano, Switzerland",Friends
38,Bern,Switzerland,CHE,46.949442,7.465210,"Bern, Switzerland",Friends
39,Basel,Switzerland,CHE,47.542353,7.591553,"Basel, Switzerland",Adventure
40,Zurich,Switzerland,CHE,47.352082,8.536377,"Zurich, Switzerland",Friends
41,Istanbul,Turkey,TUR,41.105226,28.87207,"Istanbul, Turkey",Friends
